residence_type,no_of_dependent,office_premises,cibil score,cibil enquiries,inward_returns,pos_vintage,pos_settlement,incorporation_year,card_sales_percent_of_total_revenue,variation_in_card_sales_percent,monthly_pos_collection,margin_percent,business_expenses_percent,personal_expenses_percent,emi_capacity,net_emi_capacity,abb,current_state,no_of_pos_installed,loan_tenure_in_months,pos_sanctioned_amount,owned,total revenue,income_after_expense,existing_emi,abb,debt/income,abb/income,max_emi_capacity,ls_credit_score,ratings,suggested_status,system_status,diff,interest_rate,status
rented,0,rented,511,10,10,15,19,2016,16,40,60000,40,30,30,60000,60000,10500,lms,1,6,58699.99997,0,375000,60000,0,10500,0,0.175,18000,0.404894048,8,acepted,lms,0,25%,accepted
owned,2,owned,584,0,0,120,23,2008,20,10,60000,35,30,30,42000,42000,22805,not_interested,1,9,305836.0656,2,300000,42000,0,22805,0,0.542976191,12600,0.77386881,3,acepted,not_interested,0,21%,rejected
owned,2,rented,558,7,12,24,24,2015,45,15,420000,18,35,35,50400,42066.67,28135,lms,1,12,419796.6102,1,933333.3333,50400,8333.33,28135,0.165343849,0.558234127,6786.67,0.545451592,6,acepted,lms,0,23%,accepted
owned,2,owned,601,2,0,14,27,2013,40,35,125000,20,25,25,31250,31250,0,lms,2,6,167410.7143,2,312500,31250,0,0,0,0,9375,0.724066667,4,acepted,lms,0,21%,accepted
rented,3,owned,576,1,5,24,19,2003,17,30,156000,18,30,35,57811.76,51811.76,20338,lms,1,12,435117.6471,1,917647.0588,57812,6000,20338,0.103784681,0.351795475,11343.6,0.59737804,5,acepted,lms,0,22%,accepted
owned,2,rented,570,0,20,12,17,2017,40,35,60000,18,30,35,9450,9450,11136,rejected,1,6,50625,1,150000,9450,0,11136,0,1.178412698,2835,0.4086,99,rejected,rejected,0,0%,rejected
owned,2,rented,715,7,7,7,15,2012,10,25,75000,32,30,30,96000,64983.33,5000,not_interested,1,12,256588.2353,1,750000,96000,31016.67,5000,0.323090313,0.052083333,0,0.397791071,8,acepted,not_interested,0,25%,rejected
owned,0,rented,681,10,3,6,12,2016,15,35,140416,33,30,30,123566.1,123566.1,150000,lms,1,9,250686.4093,1,936106.6667,123566,0,150000,0,1.213926161,37069.8,0.617276191,5,acepted,lms,0,22%,accepted
owned,0,rented,711,5,4,12,5,2012,3,15,30000,8,30,30,32000,32000,0,not_interested,1,12,150280,1,1000000,32000,0,0,0,0,9600,0.581545238,6,acepted,not_interested,0,23%,rejected
rented,1,rented,526,2,0,0,12,2017,0,0,0,0,0,0,0,0,0,rejected,1,0,0,0,0,0,0,0,1,0,0,0.275166667,99,rejected,rejected,0,0%,rejected
owned,0,rented,693,33,0,24,2,2014,5,15,36960,25,30,28,77616,33111,18000,lms,1,12,156956.8,1,739200,77616,44505,18000,0.573399815,0.231910946,0,0.494691558,7,acepted,lms,0,24%,accepted
rented,2,rented,636,4,2,24,16,2014,20,25,93549,35,30,30,65484.3,65484.3,102870,not_interested,2,12,249243.48,0,467745,65484,0,102870,0,1.570918087,19645.2,0.721790476,4,acepted,not_interested,0,21%,rejected
owned,0,owned,625,7,0,12,10,2017,30,25,10653,15,30,20,2663.25,2663.25,2700,rejected,1,12,23301.43291,2,35510,2663,0,2700,0,1.013894104,798.9,0.524169048,99,rejected,rejected,0,0%,rejected
owned,2,rented,573,9,0,12,5,2005,25,25,100078,30,30,20,60046.8,60046.8,25000,rejected,1,12,244061.1871,1,400312,60047,0,25000,0,0.416340533,18014.1,0.627122801,5,acepted,rejected,1,22%,rejected
owned,2,owned,607,10,0,0,16,2013,0,0,0,0,0,0,0,0,0,rejected,2,0,0,2,0,0,0,0,1,0,0,0.353483333,99,rejected,rejected,0,0%,rejected
owned,0,rented,641,30,3,24,21,2015,40,30,178000,36,25,25,80100,22449,25000,rejected,2,12,204637.7049,1,445000,80100,57651,25000,0.719737828,0.312109863,0,0.547236767,6,acepted,rejected,1,23%,rejected
rented,2,rented,597,14,0,12,27,2014,15,40,170543,15,30,30,68217.2,54984.78,21737,lms,1,12,302573.2235,0,1136953.333,68217,13232.42,21737,0.193975402,0.318644913,7232.68,0.43474998,7,acepted,lms,0,24%,accepted
owned,1,owned,639,11,0,0,5,2012,0,0,0,0,0,0,0,0,0,rejected,1,0,0,2,0,0,0,0,1,0,0,0.374816667,99,rejected,rejected,0,0%,rejected
owned,1,rented,-1,16,0,6,28,2000,30,30,85277,35,30,20,49744.92,38236.92,11211,lms,1,6,50232.80855,1,284256.6667,49745,11508,11211,0.231339833,0.225369384,3415.5,0.512314848,7,acepted,lms,0,24%,accepted
owned,2,owned,548,10,0,0,11,2016,0,0,0,0,0,0,0,0,0,rejected,1,0,0,2,0,0,0,0,1,0,0,0.286133333,99,rejected,rejected,0,0%,rejected
owned,2,rented,793,5,0,24,,2013,20,30,327496,35,30,25,257903.1,218744.1,25000,lms,2,12,500000,1,1637480,257903,39159,25000,0.151836156,0.09693567,38211.9,0.698632922,4,acepted,lms,0,21%,accepted
owned,2,rented,726,3,2,6,0,2014,10,25,21600,30,30,20,32400,13028,20000,lms,1,9,100215.3846,1,216000,32400,19372,20000,0.597901235,0.617283951,0,0.519172399,6,acepted,lms,0,23%,accepted
owned,1,rented,567,0,0,23,26,2015,50,30,550000,22,40,40,48400,48400,26755,lms,2,12,350393.4426,1,1100000,48400,0,26755,0,0.552789256,14520,0.776498347,3,acepted,lms,0,21%,accepted
rented,2,rented,653,0,0,24,8,2012,10,25,80000,35,30,15,154000,154000,35000,lms,1,12,300735.5372,0,800000,154000,0,35000,0,0.227272727,46200,0.678551299,4,acepted,lms,0,21%,accepted
owned,0,rented,654,13,14,12,20,2012,33,30,520000,25,38,30,126060.6,97522.61,22000,lms,3,12,376877.0492,1,1575757.576,126061,28537.99,22000,0.226382386,0.174518685,9280.31,0.476242888,7,acepted,lms,0,24%,accepted
rented,0,rented,653,3,6,12,15,2017,50,23,465703,16,56,20,35765.99,35765.99,20000,lms,1,9,250411.5947,0,931406,35766,0,20000,0,0.559190293,10729.8,0.640350649,5,acepted,lms,0,22%,accepted
rented,0,owned,654,14,0,0,17,2016,0,0,0,0,0,0,0,0,0,rejected,1,0,0,1,0,0,0,0,1,0,0,0.304566667,99,rejected,rejected,0,0%,rejected
rented,1,rented,667,6,0,0,15,2014,0,0,0,0,0,0,0,0,0,rejected,1,12,238735.7724,0,0,0,0,0,1,0,0,0.35115,99,rejected,rejected,0,0%,rejected
owned,2,rented,688,31,0,12,26,2015,20,25,45000,65,30,20,73125,14252,25000,lms,1,12,119979.6748,1,225000,73125,58873,25000,0.805100855,0.341880342,0,0.462261416,7,acepted,lms,0,24%,accepted
owned,0,owned,636,14,0,12,23,2013,10,25,77000,25,20,20,115500,67057,13000,lms,1,12,203119.3548,2,770000,115500,48443,13000,0.419419913,0.112554113,0,0.470225541,7,acepted,lms,0,24%,accepted
owned,3,rented,726,1,2,12,24,2013,25,15,105000,25,40,20,42000,30387,40000,lms,1,12,297266.6667,1,420000,42000,11613,40000,0.2765,0.952380952,987,0.659116429,5,acepted,lms,0,22%,accepted
owned,2,rented,571,1,14,36,20,2013,27,0,360000,25,30,8,206666.7,185980.7,200000,lms,2,9,250000,1,1333333.333,206667,20686,200000,0.100093387,0.967740375,41314.1,0.657408034,5,acepted,lms,0,22%,accepted
owned,2,rented,657,9,0,8,14,2015,22,15,108599,20,35,20,44426.86,32926.86,14292,lms,1,12,300095.0145,1,493631.8182,44427,11500,14292,0.258851599,0.321696266,1828.1,0.494315613,7,acepted,lms,0,24%,accepted
owned,2,owned,589,7,16,24,26,2010,25,15,358002,15,19,10,152508.9,23008.85,38171,lms,1,12,200883.1089,2,1432008,152509,129500.05,38171,0.849130543,0.250286868,0,0.493682875,7,acepted,lms,0,24%,accepted
owned,1,rented,721,3,0,0,,2015,0,0,0,0,0,0,0,0,0,rejected,3,0,0,1,0,0,0,0,1,0,0,0.41205,99,rejected,rejected,0,0%,rejected
rented,2,rented,595,0,0,0,19,2016,0,0,0,0,0,0,0,0,0,rejected,1,0,0,0,0,0,0,0,1,0,0,0.31995,99,rejected,rejected,0,0%,rejected
owned,0,rented,643,44,3,12,20,2016,25,22,34488,40,15,25,33108.48,32796.23,14000,lms,1,12,97831.47517,1,137952,33108,312.25,14000,0.009431255,0.422858524,9620.15,0.569657624,6,acepted,lms,0,23%,accepted
rented,0,rented,676,13,0,0,7,2014,0,0,0,0,0,0,0,0,0,rejected,1,0,0,0,0,0,0,0,1,0,0,0.319733333,99,rejected,rejected,0,0%,rejected
owned,2,owned,694,2,0,0,15,2013,0,0,0,0,0,0,0,0,0,rejected,1,0,0,2,0,0,0,0,1,0,0,0.449166667,99,rejected,rejected,0,0%,rejected
owned,0,owned,737,2,4,12,6,2008,6,0,44234,20,30,20,73723.33,56544.33,15000,lms,2,12,185023.762,2,737233.3333,73723,17179,15000,0.233020903,0.203464319,4937.9,0.580628215,6,acepted,lms,0,23%,accepted
owned,0,rented,676,7,0,12,22,2008,7,12,18396,30,40,34,20498.4,9498.4,12000,not_interested,1,12,75254.7541,1,262800,20498,11000,12000,0.536637721,0.585422968,0,0.543804784,6,acepted,not_interested,0,23%,rejected
rented,0,rented,568,1,0,0,25,2014,0,0,0,0,0,0,0,0,0,rejected,1,0,0,0,0,0,0,0,1,0,0,0.355933333,99,rejected,rejected,0,0%,rejected
owned,0,rented,715,1,0,18,18,2014,15,,88649,20,40,30,35459.6,35459.6,35000,lms,2,12,300262.6667,1,590993.3333,35460,0,35000,0,0.987027637,10638,0.808204899,3,acepted,lms,0,21%,accepted
rented,2,rented,615,0,0,12,20,2016,8,15,24772,25,25,30,15482.5,15482.5,12000,lms,1,12,120157.377,0,309650,34836,0,12000,0,0.344471237,10450.8,0.569151038,6,acepted,lms,0,23%,accepted
rented,0,rented,576,5,0,10,26,2016,12,,354154,17,50,32,90309.27,64309.27,15000,lms,1,12,500000,0,2951283.333,90309,26000,15000,0.287900431,0.166096402,1092.7,0.416388559,8,acepted,lms,0,25%,accepted
rented,2,rented,563,7,15,7,25,2017,70,17,1161052,15,50,38,29855.62286,25955.62286,15000,lms,2,12,225233.9794,0,1658645.714,29856,3900,15000,0.13062701,0.502411576,5056.8,0.421408441,8,acepted,lms,0,25%,accepted
rented,0,rented,715,9,0,0,4,2014,0,0,0,0,0,0,0,0,0,rejected,1,0,0,0,0,0,0,0,1,0,0,0.36555,99,rejected,rejected,0,0%,rejected
