name,key
Ahmedabad,ahmedabad/ah
Bengaluru,bengaluru/ba
Bhopal,bhopal/bh
Chandigarh,chandigarh/ha
Chennai,chennai/ch
Coimbatore,coimbatore/co
Faridabad,faridabad/fa
Gandhi Nagar,gandhi-nagar/ga
Ghaziabad,ghaziabad/gh
Greater Noida,greater-noida/gr
Gurugram,gurugram/gu
Hyderabad,hyderabad/hy
Indore,indore/in
Jaipur,jaipur/ja
Kochi,kochi/ko
Kolkata,kolkata/ca
Lucknow,lucknow/uc
Mangalore,mangalore/ma
Mohali,mohali/mo
Mumbai,mumbai/mu
Nagpur,nagpur/na
Nashik,nashik/as
Navi Mumbai,navi-mumbai/av
New Delhi,new-delhi/nd
Noida,noida/no
Pune,pune/pu
Thane,thane/th
Trivandrum,trivandrum/tr
Vadodara,vadodara/ar
Visakhapatnam,visakhapatnam/vi