Date,Client Name,DayBox SKU,UOM,Qty O,Qty D,Qty R,Rate (in _),Invoiced Amount (in _),Outlet ID,Transporter
01/11/16,Baba Dhaba,Hybrid Tomato,Kg,2,2,0,15,30,57c42da9218be744e698e8a4,Gurcharan
01/11/16,Baba Dhaba,Onion Medium,Kg,25,25,0,16,400,57c42da9218be744e698e8a4,Gurcharan
19/11/16,Baba Dhaba,Onion Medium,Kg,50,50,0,10,500,57c42da9218be744e698e8a4,Gurcharan
19/11/16,Baba Dhaba,Onion Medium,Kg,13,13,0,15,195,57c42da9218be744e698e8a4,Gurcharan
19/11/16,Baba Dhaba,Baby Potato,Kg,4,4,0,12,48,57c42da9218be744e698e8a4,Gurcharan
19/11/16,Baba Dhaba,Onion Medium,Kg,2,2,0,5,10,57c42da9218be744e698e8a4,Gurcharan
22/11/16,Baba Dhaba,Cauliflower,Kg,0.5,0.5,0,20,10,57c42da9218be744e698e8a4,Gurcharan
22/11/16,Baba Dhaba,Onion Medium,Kg,5,5,0,10,50,57c42da9218be744e698e8a4,Gurcharan
23/11/16,Baba Dhaba,Onion Medium,Kg,32.5,32.5,0,8,260,57c42da9218be744e698e8a4,Gurcharan
23/11/16,Baba Dhaba,Onion Medium,Kg,58,58,0,8,464,57c42da9218be744e698e8a4,Gurcharan
23/11/16,Baba Dhaba,Capsicum,Kg,1,1,0,20,20,57c42da9218be744e698e8a4,Gurcharan
23/11/16,Baba Dhaba,Onion Medium,Kg,3,3,0,6,18,57c42da9218be744e698e8a4,Gurcharan
23/11/16,Baba Dhaba,Onion Medium,Kg,100,100,0,12,1200,57c42da9218be744e698e8a4,Gurcharan
23/11/16,Baba Dhaba,Onion Medium,Kg,135,135,0,10,1350,57c42da9218be744e698e8a4,Gurcharan
23/11/16,Baba Dhaba,Onion Medium,Kg,1,1,0,10,10,57c42da9218be744e698e8a4,Gurcharan
23/11/16,Baba Dhaba,Cabbage,Kg,1,1,0,10,10,57c42da9218be744e698e8a4,Gurcharan
23/11/16,Baba Dhaba,Onion Medium,Kg,78.5,78.5,0,5,392.5,57c42da9218be744e698e8a4,Gurcharan
24/11/16,Baba Dhaba,Onion Medium,Kg,6,6,0,5,30,57c42da9218be744e698e8a4,Gurcharan
24/11/16,Baba Dhaba,Onion Medium,Kg,5,5,0,10,50,57c42da9218be744e698e8a4,Gurcharan
24/11/16,Baba Dhaba,Cabbage,Kg,1,1,0,10,10,57c42da9218be744e698e8a4,Gurcharan
25/11/16,Baba Dhaba,Onion Medium,Kg,4,4,0,12.5,50,57c42da9218be744e698e8a4,Gurcharan
25/11/16,Baba Dhaba,Onion Medium,Kg,10,10,0,10,100,57c42da9218be744e698e8a4,Gurcharan
25/11/16,Baba Dhaba,Onion Medium,Kg,5,5,0,12,60,57c42da9218be744e698e8a4,Gurcharan
25/11/16,Baba Dhaba,Onion Medium,Kg,14,14,0,5,70,57c42da9218be744e698e8a4,Gurcharan
26/11/16,Baba Dhaba,Onion Medium,Kg,4,4,0,5,20,57c42da9218be744e698e8a4,Gurcharan
26/11/16,Baba Dhaba,Onion Medium,Kg,5,5,0,12,60,57c42da9218be744e698e8a4,Gurcharan
26/11/16,Baba Dhaba,Onion Medium,Kg,6,6,0,10,60,57c42da9218be744e698e8a4,Gurcharan
26/11/16,Baba Dhaba,Hybrid Tomato,Kg,2,2,0,5,10,57c42da9218be744e698e8a4,Gurcharan
28/11/16,Baba Dhaba,Onion Medium,Kg,3,3,0,12,36,57c42da9218be744e698e8a4,Gurcharan
28/11/16,Baba Dhaba,Onion Medium,Kg,2,2,0,6,12,57c42da9218be744e698e8a4,Gurcharan
28/11/16,Baba Dhaba,Onion Medium,Kg,50,50,0,8,400,57c42da9218be744e698e8a4,Gurcharan
29/11/16,Baba Dhaba,Onion Medium,Kg,5,5,0,15,75,57c42da9218be744e698e8a4,Gurcharan
30/11/16,Baba Dhaba,Onion Medium,Kg,6,6,0,12,72,57c42da9218be744e698e8a4,Gurcharan
30/11/16,Baba Dhaba,Onion Medium,Kg,10,10,0,12,120,57c42da9218be744e698e8a4,Gurcharan
30/11/16,Baba Dhaba,Onion Medium,Kg,70,70,0,5,350,57c42da9218be744e698e8a4,Gurcharan
30/11/16,Baba Dhaba,Onion Medium,Kg,20,20,0,12,240,57c42da9218be744e698e8a4,Gurcharan
30/11/16,Baba Dhaba,Onion Medium,Kg,6,6,0,15,90,57c42da9218be744e698e8a4,Gurcharan